번호,공시번호,상표명(자재명),자재구분,사업자,사업자번호,유효기간,공시기관,주의사항,등재일자,가격,기타사항,미생물 학명,농약/비료등록여부,연락처(사업장),효능효과 표시여부,효능효과 표시구분,효능효과 세부내용,제조장주소
531,공시-3-3-148,한거름에코(미생물추출물+황산칼륨+제당산업의부산물),토양개량 및 작물생육용,㈜밀투밸런스,403-81-36481,2025.08.26 ~ 2028.08.25,국립순천대학교 산학협력단,○ 전면 살포 경운 후 10일 이상 경과 후 정식 하십시오. ○ 수분을 충분히 공급하면 부숙이 빨라집니다. ○ 묘목상 및 상토에는 절대 사용하지 마십시오. ○ 흡습방지를 위해 밀봉하여 보관하십시오. ○ 토양 내 잔존 유기물을 부숙시켜 가스가 발생할 수 있으니 유의 하십시오.,2016.08.26,"28,300원/20kg",질소전량 6.6%,,X,063-732-3350,미표시,없음,,전북특별자치도 군산시 군산산단로 128 (오식도동)
551,공시-2-3-366,라이브골드(토양미생물제제),토양개량 및 작물생육용,㈜태인,889-81-03001,2025.12.21 ~ 2028.12.20,강원대학교 산학협력단,"- 사용방법 및 사용량을 준수하여 주십시오. - 기비 살포 시 알칼리성 타 농자재와 혼용하지 마십시오. - 개, 고양이 등이 먹을 경우 폐사할 수 있습니다. - 어린이 손에 닿는 곳에 놓거나 보관하지 마세요. - 유통 중 발생할 수 있는 흰색 곰팡이는 미생물 번식으로 제품 효능에는 아무런 이상이 없으므로 안심하고 사용하십시오. - 사용 후 남은 경우에는 잘 밀봉 후 직사광선이 없는 건냉암소에 보관하여 주십시오. - 개봉 후 15일 내 사용하십시오.",2016.12.21,"30,000원/10kg",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/g *책임보험정보: 현대해상화재보험㈜_F-2025-0515808,Bacillus subtilis,제 경북 경주069-가-20301 호,054-761-3355,미표시,없음,,경상북도 경주시 안강읍 두류길 297
557,공시-2-5-149,총채싹(규조토+미생물),충해관리용,㈜팜한농,120-87-55101,2026.02.15 ~ 2029.02.14,강원대학교 산학협력단,"- 한낮을 피해 오전 일찍 또는 오후 늦게 사용하십시오. - 산, 알칼리성 농자재와는 혼용하여 사용하지 마십시오. - 살아있는 미생물 제품으로 35℃ 이하의 건조하고 서늘한 곳에 반드시 보관하십시오. - 이 자재는 오이, 고추, 상추, 배추, 토마토, 감귤, 수박, 참외, 딸기, 양파, 호박, 마늘, 부추, 들깨에 대하여 약해시험을 실시하여 약해가 없음을 확인하였습니다.",2017.02.15,"20,000원/1kg","*주성분의 종류 및 함량: 규산전량 70%, Beauveria bassiana 5.0×10^5 cfu/g *책임보험정보: ㈜KB손해보험_2025-8036148(000)",Beauveria bassiana,없음,1644-0901,표시,,"적용대상 작물명 및 효과: 고추, 오이(꽃노랑총채벌레) / 무처리구 대비 50% 이상 방제",경상북도 구미시 남구미로 69 (공단동)
567,공시-2-3-796,갤럭시(랑베나이트+미생물추출물+식물성유박류+인광석+제당부산물),토양개량 및 작물생육용,농업회사법인 ㈜에프디파이브,795-86-00397,2026.02.17 ~ 2029.02.16,강원대학교 산학협력단,"- 정식 5~7일 전 전량 밑거름으로 사용하십시오. - 시설재배(하우스, 멀칭)에 사용할 경우에는 발효 후 사용하여야 합니다. - 사용 시 심층 사용하시거나, 전층 사용 후 경운이나 로터리 하십시오. - 농업용 외에는 사용하지 마세요. - 개, 고양이 등이 먹을 경우 폐사할 수 있으니 살포 후 반드시 토양과 잘 섞으세요. - 어린이의 손에 닿는 곳에 놓거나 보관하지 마세요.",2017.02.17,"28,000원/20kg","*주성분의 종류 및 함량: 질소전량, 인산전량, 칼리전량",,없음,031-668-7811,미표시,없음,,전라남도 담양군 용면 추월산로 251
571,공시-2-5-156,선충싹(미생물추출물+식물성오일),충해관리용,㈜에코윈,503-81-81554,2026.04.26 ~ 2029.04.25,강원대학교 산학협력단,"- 그늘지고 서늘한 곳에 보관 - 개화기에는 사용을 피해주십시오. - 고온기, 어린 육묘기, 이상기후 등에는 희석 비율을 늘려 사용하십시오. - 희석 시 침전물이 생기지 않도록 완전히 풀어서 사용하십시오. - 대부분 농자재와 혼용이 가능하나 혼용 시 본사로 별도 문의 바랍니다. - 어린이의 손이 닿지 않는 곳에 보관하시고 절대 음용하지 마십시오. - 이 유기농업자재는 피부자극성이 있으므로 고무장갑, 방제복, 마스크, 보안경을 착용하고 바람을 등지고 뿌리되 작업 후에는 입안을 물로 헹구고 손, 발, 얼굴 등을 비눗물로 깨끗이 씻으십시오.",2017.04.26,"35,000원/1L, 60,000원/2L","*주성분의 종류 및 함량: Anthraquinone, Geraniol *책임보험정보: 대한상공회의소_202601-043",,없음,053-582-0321,미표시,없음,,대구광역시 달성군 유가읍 테크노중앙대로2길 18
586,공시-2-3-392,짭짤이2호플러스(토양미생물제제),토양개량 및 작물생육용,대저농협유통센타,606-82-07414,2026.03.22 ~ 2029.03.21,강원대학교 산학협력단,- 미부숙 퇴비와 함께 사용 시 효과가 감소할 우려가 있습니다. - 서늘한 그늘진 곳에 보관해 주십시오. - 피부나 눈에 닿지 않게 하고 먹지 마십시오.,2017.03.22,"30,000원/20L",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/mL,Bacillus subtilis,제 부산 강서31-가-20301 호,051-972-4154(051-972-4152),미표시,없음,,부산광역시 강서구 공항로533번길 337 (대저2동)
595,공시-3-4-027,흙이랑뿌리랑플러스(미생물추출물),병해관리용,농업회사법인 흙살림바이오(주),303-81-24778,2026.04.27 ~ 2029.04.26,국립순천대학교 산학협력단,"○ 단독 사용을 권장합니다 ○ 입제 형태의 제제로 수분에 노출되지 않도록 보관하십시오 ○ 한번 사용하고 남은 제품은 밀봉하여 보관하십시오 ○ 유통기간이 지난 제품은 사용하지 마십시오 ○ 신체부위(눈, 코, 입)에 내용물이 묻지 않도록 주의하십시오",2017.04.27,"25,000원/8kg",파로모마이신 0.00009%,,X,043-215-8179,미표시,없음,,충청북도 괴산군 불정면 한불로 1136
599,공시-2-3-398,토생이(미생물추출물+점토광물),토양개량 및 작물생육용,㈜현농,409-81-95886,2026.06.21 ~ 2029.06.20,강원대학교 산학협력단,- 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오. - 본 제품은 본답처리용이나 이앙 전 모판에도 사용할 수 있음. - 로터리 14일 전 사용 후 골고루 로터리 하십시오.,2017.06.21,"25,000원/3kg, 100,000원/15kg",*주성분의 종류 및 함량: 질소전량,,없음,061-393-5316,미표시,없음,,전라남도 장성군 남면 나노산단3로 33-5
630,공시-3-5-095(공시-1-5-050),불나방케이(K)(미생물+파라핀오일),충해관리용,그린케어,403-81-45618,2023.09.22 ~ 2026.09.21,국립순천대학교 산학협력단,1. 사용전 사용방법을 숙지한 후 사용하십시오 2. 제품을 충분히 흔든 후 사용하십시오 3. 본 제품은 미생물이 함유되어 있으므로 햇볕이 약한 아침이나 늦은 오후에 살포 4. 약액이 잎의 앞뒤면에 충분히 묻도록 살포하십시오 5. 제품 개봉 후에는 잘 밀봉하여 햇빛이 들지 않는 실온에 보관,2017.09.22,"11,000원/100mL, 25,000원/500mL, 50,000원/1L, 120,000원/3L","주성분:Bacillus methylotrophicus 1.0 x 10^7 CFU/ml, 파라핀오일 16%",Bacillus methylotrophicus,-,063-905-4480,표시,,"Bacillus methylotrophicus 1.0 x 10^7 CFU/mL, 파라핀오일 16% 이상",충청북도 충주시 금가면 강수로 81-5
636,공시-2-6-026,일타이피(미생물추출물),병해충관리용,㈜현농,409-81-95886,2024.02.28 ~ 2027.02.27,강원대학교 산학협력단,"- 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오. - 미생물 제품으로 반드시 30℃ 이하 서늘하고 그늘진 곳에 보관하십시오. - 사용 전 잘 흔들어 사용하십시오. - 한낮을 피하고 햇빛이 없을 때를 선택하여 엽면에 고루 닿도록 살포하십시오. - 산, 알카리성 농자재와는 혼용하여 사용하지 마십시오. - 어린이 손이 닿지 않는 곳에 보관하십시오.",2018.02.28,"35,000원/500mL, 70,000원/1L, 210,000원/3L, 280,000원/4L, 
700,000원/10L",*주성분의 종류 및 함량: Phenazine 65mg/kg,,없음,061-393-5316,표시,,적용대상 작물명 및 효과: 인삼(잘록병) / 무처리구 대비 50% 이상 방제,전라남도 장성군 남면 나노산단3로 33-5
637,공시-2-5-313(공시-1-5-051),빌리언(미생물),충해관리용,농업회사법인 투엠바이오㈜,135-86-52055,2023.11.02 ~ 2026.11.01,강원대학교 산학협력단,- 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 수정벌은 맞지 않도록 하루정도 나오지 못하게 하십시오. - 사용 후 밀봉을 한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오.,2017.11.02,"12,500원/50g, 20,000원/250g",*주성분의 종류 및 함량: Bacillus thuringiensis 1.0×10^7 cfu/g *책임보험정보: 대한상공회의소_202501-060,Bacillus thuringiensis,없음,031-647-3147,표시,,적용대상 작물명 및 효과: 배추(파밤나방) / 무처리구 대비 50% 이상 방제,경기도 평택시 안중읍 학현길 35-20
641,공시-2-5-176,람피드(미생물추출물),충해관리용,㈜현농,409-81-95886,2024.02.28 ~ 2027.02.27,강원대학교 산학협력단,"- 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오. - 미생물 제품으로 반드시 30℃ 이하 서늘하고 그늘진 곳에 보관하십시오. - 사용전 잘 흔들어 사용하십시오. - 한낮을 피하고 햇빛이 없을 때를 선택하여 엽면에 고루 닿도록 살포하십시오. - 산, 알카리성 농자재와는 혼용하여 사용하지 마십시오. - 어린이 손이 닿지 않는 곳에 보관하십시오.",2018.02.28,"35,000원/500mL, 70,000원/1L, 210,000원/3L",*주성분의 종류 및 함량: Phenazine,,없음,061-393-5316,미표시,없음,,전라남도 장성군 남면 나노산단3로 33-5
645,공시-2-5-175,이끌림(미생물추출물),충해관리용,㈜마이크로자임,409-86-19995,2024.01.24 ~ 2027.01.23,강원대학교 산학협력단,- 밀폐용기로 건ㆍ냉ㆍ암소 보관,2018.01.24,"6,000원/200g",*주성분의 종류 및 함량: Phenethyl alcohol,,없음,061-363-0607,미표시,없음,,전북특별자치도 정읍시 첨단2로 78 (신정동)
654,공시-2-3-433,부활큐(미생물),토양개량 및 작물생육용,글로벌아그로㈜,206-81-84024,2023.12.20 ~ 2026.12.19,강원대학교 산학협력단,"- 사용 전에 충분히 흔들어 섞은 후 사용하시고, 사용농도를 준수하여 토양관주처리하여 주십시오. - 본 제품을 타 자재와 혼용할 경우 혼용가부여부를 글로벌아그로㈜에 확인하시기 바랍니다. - 안전성이 입증된 제품이지만 절대로 먹거나 마시지 마시고 눈과 피부에 닿지 않도록 주의 하십시오. - 어린이 및 노약자 손에 닿지 않게 하시고, 건냉암소에 보관하여 신속히 사용하십시오. - 사용 후 남은 경우에는 잘 밀봉한 후 서늘한 곳에 보관하십시오.",2017.12.20,"28,000원/1L",*주성분의 종류 및 함량: Bacillus velezensis 1.0×10^6 cfu/mL,Bacillus velezensis,없음,1800-0584,미표시,없음,,경상북도 안동시 풍산읍 절뒤길 18
673,공시-3-3-206,대박(유기체+제당산업의 부산물+점토광물),토양개량 및 작물생육용,(주)지엘바이오,615-81-75938,2024.01.30 ~ 2027.01.29,국립순천대학교 산학협력단,○ 용기를 흔들어 내용물을 골고루 섞은 다음 사용해주세요. ○ 타농자재(살균제 등)과는 혼용하지 마세요.(미생물 사멸) ○ 개봉 후에는 전량 사용해주세요.,2018.01.30,"40,000원/L, 450,000원/20L",주성분: 질소전량,,해당없음,055-355-0329,미표시,없음,,경상남도 밀양시 하남읍 대평4길 39-10
681,공시-3-6-088(공시-1-6-027),병해뚝(규조토+미생물),병해충관리용,㈜대유,515-81-00326,2024.01.25 ~ 2027.01.24,국립순천대학교 산학협력단,○ 토양시비시 작물에 직접 닿지 않도록 주의하여주십시오 ○ 시비한 후 경운 또는 로터리 작업을 하여 토양과 골고루 섞이게 하는 것이 더욱 효과적입니다. ○ 사료나 식품 등과 구분하여 보관하여 주십시오 ○ 사용 후 남은 것은 공기가 통하지 않게 밀봉하여 어린아이의 손에 닿지 않는 서늘한 곳에 보관하여 주십시오 ○ 먹거나 마시지 마십시오,2018.01.25,"24,000원/3kg","수용성규산 1.3%, Bacillus subtilis 1.0X10^6 CFU/g 이상",Bacillus subtilis,-,02-556-6293(043-834-3012),미표시,없음,,충청북도 괴산군 괴산읍 대제산단1길 12
683,공시-2-3-441,고이-8(미생물+이탄),토양개량 및 작물생육용,우림바이오㈜,643-85-01273,2024.02.28 ~ 2027.02.27,강원대학교 산학협력단,- 개봉 후 곧바로 사용하시기 바랍니다. - 살아있는 미생물이 함유되어 있는 제품으로 햇빛을 피하고 건조한 그늘에 보관하십시오. - 유통기한 내에 사용하십시오. - 사람의 피부나 호흡기에 묻지 않도록 주의하십시오. - 작물의 종류나 시기에 따라 시비량을 조절하여 사용하십시오.,2018.02.28,"25,000원/15kg","*주성분의 종류 및 함량: Saccharomyces cerevisiae 1.0×10^6 cfu/g, 질소전량 *책임보험정보: 삼성화재해상보험㈜_82306393137000",,없음,031-294-1234(070-4244-2969),미표시,없음,,전라남도 영광군 백수읍 백수로 1215
695,공시-3-3-208,푸른세상골드(미생물+점토광물),토양개량 및 작물생육용,그린케어,403-81-45618,2024.02.22 ~ 2027.02.21,국립순천대학교 산학협력단,○ 살아있는 미생물제제이므로 35℃ 이하의 서늘한 곳에 보관하십시오. ○ 타미생물 제품 또는 액비와 혼합하면 효과가 감소할 수 있습니다.,2018.02.22,"15,000/2kg, 30,000/5kg",대표성분: Trichoderma harzianum 1.0 × 10^5 cfu/g 이상,Trichoderma harzianum,해당없음,063-905-4480,미표시,없음,,전북특별자치도 완주군 구이면 구이로 892
698,공시-3-3-644(공시-1-3-335),트리플 에이트(미생물추출물),토양개량 및 작물생육용,㈜누보,474-86-01636,2024.02.21 ~ 2027.02.20,국립순천대학교 산학협력단,"1. 미생물추출물로 희석시 충분히 교반하여 주십시오. 2. 정식 직후, 고온기(30℃ 이상)에 사용시 사용량을 1/2로 줄여 사용하십시오. 3. 강산성 또는 알칼리성 약제와 혼용할 경우 침전, 엉김현상이 발생할 수 있으니, 사용전 혼용가부를 확인하여 주십시오. 4. 보관시 서늘한 곳에 직사광선에 노출되지 않도록 보관하십시오.",2018.02.21,"60,000원/10kg","주성분:질소전량, 수용성인산, 수용성칼리, 유기물",,-,1544-3098(055-365-3098),미표시,없음,,울산광역시 울주군 온산읍 대정로 106
699,공시-2-3-863(공시-1-3-336),락토(미생물+쌀겨+점토광물+제당부산물),토양개량 및 작물생육용,㈜에프엠애그텍,445-87-03574,2024.02.21 ~ 2027.02.20,강원대학교 산학협력단,"- 퇴비 또는 유기물 발효할 때 퇴비나 유기물 5ton 정도에 락토 10kg을 골고루 혼합하여 사용하십시오. - 저온기(늦가을(10월))부터 초봄(4월)까지는 작물 정식 20일 전에 토양에 살포한 후 경운하십시오. - 그 외 중, 고온기(5월~9월)에는 작물 정식 1주일 전에 토양에 살포한 후 정식하십시오.",2018.02.21,"15,000원/2kg, 60,000원/10kg",*주성분의 종류 및 함량: Wickerhamomyces anomalus 1.0×10^6 cfu/g *책임보험정보: 삼성화재해상보험㈜_82510245150000,,없음,043-237-0278,미표시,없음,,충청북도 청주시 흥덕구 오송읍 오송생명6로 10
717,공시-2-4-134,뉴(New)바이백신(미생물추출물),병해관리용,글로벌아그로㈜,206-81-84024,2024.05.30 ~ 2027.05.29,강원대학교 산학협력단,- 사용농도는 준수하여 작물에 골고루 뿌려주십시오. - 본 제품을 타 자재와 혼용할 경우 혼용가부여부를 글로벌아그로㈜에 확인하시기 바랍니다. - 전착제 또는 전착제 성분이 함유된 제품과는 혼용하지 마십시오. - 기타 자재와의 근접 살포를 피하여 주십시오. - 사용 후 남은 경우에는 잘 밀봉한 후 서늘한 곳에 보관하십시오. - 어린이 및 노약자 손에 닿지 않게 보관하십시오.,2018.05.30,"20,000원/200mL, 35,000원/500mL",*주성분의 종류 및 함량: Lipopolysaccharides *책임보험정보: DB손해보험㈜_120240961842,Lipopolysaccharides sp.,없음,1800-0584,미표시,없음,,경상북도 안동시 풍산읍 절뒤길 18
718,공시-2-5-192,비티투(미생물),충해관리용,고려바이오㈜,124-86-37020,2024.06.27 ~ 2027.06.26,강원대학교 산학협력단,"- 이른 아침에 사용하시고, 살포 후 빠른 시간 안에 자연 건조 시켜주십시오. - 해가 진 후 흐리고 습하거나 비가 오는 날은 살포하지 마십시오. - 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 사용 후 제품이 남았을 시 반드시 밀봉을 한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오. - 이 유기농업자재는 약한 안자극성이 있으므로 보안경, 방제복, 마스크, 고무장갑을 착용하고 눈에 들어가지 않도록 주의하여 바람을 등지고 뿌리되 작업 후에는 입안을 물로 헹구고 손, 발, 얼굴 등을 비눗물로 깨끗이 씻으십시오.",2018.06.27,"20,000원/500g",*주성분의 종류 및 함량: Bacillus thuringiensis *책임보험정보: 대한상공회의소_202402-126,Bacillus thuringiensis,없음,031-354-8183,미표시,없음,,경기도 화성시 효행구 정남면 정남동로 346
729,공시-3-3-355(공시-1-3-348),카이노스(토양미생물제제),토양개량 및 작물생육용,MVP애그텍,302-02-78790,2024.06.29 ~ 2027.06.28,국립순천대학교 산학협력단,1. 사용 후 남은 것은 직사광선을 피해 냉?암소에 보관 2. 이른 아침 또는 오후 늦게 살포하여야 효과적이며 햇빛이 너무 강한 시간은 사용을 피하십시오. 3. 상품 표면에 떠있는 것은 곰팡이 균사이므로 사용 시 손으로 비비거나 갈아서 사용하세요. 4. 침전물이 생길 수 있으니 사용 시 흔들어 사용하십시오.,2018.06.29,"10,000원/500mL, 15,000원/1L, 50,000원/5L","- 주성분:미생물(Bacillus amyloliquefaciens 1.0×10^6 cfu/mL, Aspergillus oryzae 1.0×10^5 cfu/mL)",Bacillus amyloliquefaciens,충북 옥천004-가-20301호,043-733-8996~7,표시,비료등록,비료등록제품,충청북도 옥천군 군서면 동평3길 45-26
735,공시-2-3-457,락토히록스골드(토양미생물제제),토양개량 및 작물생육용,코리아히록스,502-11-75721,2024.08.08 ~ 2027.08.07,강원대학교 산학협력단,- 사용 시 물에 충분히 희석하여 주십시오. - 타 유기농업자재와 혼용이 가능합니다. - 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용을 삼가십시오. - 어린이 손에 닿지 않게 하시고 사용 후 남은 것은 뚜껑을 꼭 닫아 건냉암소에 보관하여 사용하십시오.,2018.08.08,"25,000원/1kg",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/g,Bacillus subtilis,제 경북 경산048-가-20301 호,053-423-7535,표시,비료등록,비료등록제품,경상북도 경산시 압량읍 압독로 153-12
736,공시-2-3-487,라이브파워(미생물추출물+제당부산물),토양개량 및 작물생육용,에코바이오,112-04-35474,2024.11.28 ~ 2027.11.27,강원대학교 산학협력단,"- 하우스 작물에는 사용법을 별도 문의해 주시기 바랍니다. - 강알칼리, 강산의 타 농자재와는 혼용하여 사용하지 마세요. - 사용하고 남은 제품은 건냉한 창고에 보관하시기 바랍니다.",2018.11.28,"30,000원/20kg",*주성분의 종류 및 함량: 질소전량 *책임보험정보: 농협손해보험㈜_319-1268-8638-21,,없음,010-3513-4100,미표시,없음,,경상북도 영천시 채신2공단길 79-13 (채신동)
763,공시-2-5-269,비티더블유(미생물),충해관리용,㈜엔비아그로,305-86-36784,2024.10.24 ~ 2027.10.23,강원대학교 산학협력단,- 미생물 제품으로 사용 전에 충분히 흔든 후에 사용하세요. - 제품을 먹지 마십시오. - 강알칼리성 자재와 혼용하여 사용하지 마십시오. - 그늘지고 서늘한 곳에 보관하십시오. - 사용하고 남은 제품은 뚜껑을 잘 잠궈 보관하세요.,2018.10.24,"8,000원/250mL, 15,000원/500mL, 25,000원/1L, 50,000원/2L, 75,000원/3L, 100,000원/4L, 112,500원/4.5L",*주성분의 종류 및 함량: Bacillus thuringiensis,Bacillus thuringiensis,없음,041-754-1015,미표시,없음,,충청남도 금산군 추부면 숭암로 117
792,공시-2-5-198,참총충 입제(미생물),충해관리용,㈜에코윈,503-81-81554,2024.12.12 ~ 2027.12.11,강원대학교 산학협력단,"- 직사광선을 피하고, 서늘한 그늘에 보관",2018.12.12,"25,000원/250g, 30,000원/2kg",*주성분의 종류 및 함량: Isaria javanica 1.0×10^6 cfu/g *책임보험정보: 대한상공회의소_201501-014,,없음,053-582-0321,표시,,"적용대상 작물명 및 효과: 고추(꽃노랑총채벌레), 토마토(담배가루이) / 무처리구 대비 50% 이상 방제",대구광역시 달성군 유가읍 테크노중앙대로2길 18
793,공시-2-2-241,바이오스피드(미생물추출물),작물생육용,㈜현농,409-81-95886,2024.12.12 ~ 2027.12.11,강원대학교 산학협력단,- 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오. - 사용 전 잘 흔들어 사용하십시오. - 엽면에 고루 닿도록 살포하십시오. - 알칼리계 농자재와 혼용하지 마십시오.,2018.12.12,"20,000원/1L",*주성분의 종류 및 함량: 질소전량,,없음,061-393-5316,미표시,없음,,전라남도 장성군 남면 나노산단3로 33-5
797,공시-2-6-034,동시탄(미생물추출물),병해충관리용,㈜현농,409-81-95886,2025.01.09 ~ 2028.01.08,강원대학교 산학협력단,- 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오. - 사용 전 잘 흔들어 사용하십시오. - 한낮을 피하고 햇빛이 있는 때를 선택하여 옆면에 고루 닿도록 살포하십시오. - 알칼리계 농자재와 혼용하지 마십시오.,2019.01.09,"35,000원/500mL, 70,000원/1L, 
210,000원/3L, 280,000원/4L, 
700,000원/10L",*주성분의 종류 및 함량: Dibutyl succinate 0.4mg/kg,,없음,061-393-5316,표시,,적용대상 작물명 및 효과: 고추(목화진딧물) / 무처리구 대비 50% 이상 방제,전라남도 장성군 남면 나노산단3로 33-5
801,공시-2-3-504,바이코나 액제(토양미생물제제),토양개량 및 작물생육용,투엠바이아연구소,301-39-62646,2025.01.09 ~ 2028.01.08,강원대학교 산학협력단,- 건조한 냉암소에 보관하십시오. - 타 제품과의 혼용을 피하십시오. - 햇볕이 너무 강한 시간대에 살포를 피하십시오. - 개봉 후에는 가능한 모두 사용하십시오.,2019.01.09,"100,000원/15L",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^7 cfu/mL,Bacillus subtilis,제 충북 청주003-가-20301 호,043-212-2800,표시,비료등록,비료등록제품,충청북도 청주시 청원구 북이면 용계내추로 297-11
806,공시-3-5-045,순천비티제(미생물),충해관리용,순천시농업기술센터,416-83-00358,2024.12.28 ~ 2027.12.27,국립순천대학교 산학협력단,○ 사용 전 충분히 흔들어서 사용해 주십시오. ○ 타 농자재와 혼용시 소량 일부 살포 후 이상이 없을 때 사용하여 주십시오. ○ 개봉 후에는 빨리 사용하십시오.,2018.12.28,"12,000/5L (관내 농민 1,750원/5L)",대표성분: Bacillus thuringiensis,Bacillus thuringiensis,-,061-749-8773,미표시,없음,,전라남도 순천시 승주읍 승주로 538-8
810,공시-2-3-509,유기파워(미생물추출물+제당부산물),토양개량 및 작물생육용,㈜미산,455-87-01670,2025.02.20 ~ 2028.02.19,강원대학교 산학협력단,"- 하우스 작물에는 사용법을 별도 문의해 주시기 바랍니다. - 강알칼리, 강산의 타 농자재와는 혼용하여 사용하지 마세요. - 사용하고 남은 제품은 건냉한 창고에 보관하시기 바랍니다.",2019.02.20,"8,000원/900g, 17,000원/10kg, 20,000원/15kg, 29,000원/20kg",*주성분의 종류 및 함량: 질소전량 *책임보험정보: 농협손해보험㈜_319-1268-8638-21,,없음,054-337-1570,미표시,없음,,경상북도 영천시 채신2공단길 79-13 (채신동)
811,공시-2-3-511,늘푸른세상(미생물+자연암석분말+점토광물),토양개량 및 작물생육용,㈜엠바이넥스,615-81-09229,2025.02.20 ~ 2028.02.19,강원대학교 산학협력단,- 살아있는 미생물제제이므로 35℃ 이하의 서늘한 곳에서 보관하십시오. - 불량 또는 미부숙 퇴비를 함께 사용한 경우 효과가 감소할 수 있습니다. - 화학 농약과 혼용 시 혼용가부 안내에 따라 사용하십시오. - 버섯류에 사용하지 마십시오.,2019.02.20,"4,000원/500g, 15,000원/2kg, 27,000원/5kg",*주성분의 종류 및 함량: Trichoderma harzianum 1.0×10^5 cfu/g *책임보험정보: 메리츠화재해상보험㈜_14750-819,Trichoderma harzianum,없음,055-761-4701,미표시,없음,,경상남도 진주시 문산읍 월아산로950번길 25-3
817,공시-2-3-517,랜드콘 제이에스(미생물),토양개량 및 작물생육용,글로벌아그로㈜,206-81-84024,2025.02.20 ~ 2028.02.19,강원대학교 산학협력단,"- 사용 전에 충분히 흔들어 섞은 후 사용하시고, 사용농도를 준수하여 토양관주처리하여 주십시오. - 본 제품을 타 자재와 혼용할 경우 혼용가부여부를 글로벌아그로㈜에 확인하시기 바랍니다. - 안전성이 입증된 제품이지만 절대로 먹거나 마시지 마시고 눈과 피부에 닿지 않도록 주의하십시오. - 어린이 및 노약자 손에 닿지 않게 하시고, 건냉암소에 보관하여 신속히 사용하십시오. - 사용 후 남은 경우에는 잘 밀봉한 후 서늘한 곳에 보관하십시오.",2019.02.20,"25,000원/2L",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/mL *책임보험정보: DB손해보험㈜_120240961842,Bacillus subtilis,없음,1800-0584,미표시,없음,,경상북도 안동시 풍산읍 절뒤길 18
825,공시-3-6-050(공시-1-6-034),대유총진싹(미생물),병해충관리용,㈜대유,515-81-00326,2025.01.28 ~ 2028.01.27,국립순천대학교 산학협력단,"○ 직사광선을 피하고 서늘하고 어두운 곳에 보관하십시오. ○ 살아있는 미생물제제이므로 0~10℃ 습도 50%이하에서 보관하는 것이 가장 좋으며, 최소한 0~20℃ 습도 50%이하에서 보관하여야 합니다. ○ 장기간 보관시 냉암소에 보관하십시오.",2019.01.28,"13,000원/250mL, 22,000원/500mL, 44,000원/1L",Beauveria bassiana 1.0X10^5 CFU/mL,Beauveria bassiana,X,02-556-6293(043-834-3012),미표시,없음,,충청북도 괴산군 괴산읍 대제산단1길 12
842,공시-2-5-282(공시-1-5-075),비티력(미생물),충해관리용,㈜에프엠애그텍,445-87-03574,2025.03.27 ~ 2028.03.26,강원대학교 산학협력단,"- 작물 흠뻑 경엽처리하십시오. - 사용 적기에 사용하십시오. - 알칼리성 제품과의 혼용을 피하십시오. - 타 제품과 혼용 사용 시 먼저 소량 혼용 시험을 거친 후 사용하십시오. - 어린이 손에 닿지 않게 하시고 사용 후에는 밀봉, 냉암소에 보관하십시오. - 이 유기농업자재는 약한 안자극성이 있으므로 보안경, 방제복, 마스크, 고무장갑을 착용하고 눈에 들어가지 않도록 주의하여 바람을 등지고 뿌리되 작업 후에는 입안을 물로 헹구고 손, 발, 얼굴 등을 비눗물로 깨끗이 씻으십시오. - 이 유기농업자재는 꿀벌에 대한 독성이 강하니 꽃이 피어 있는 동안에는 사용하지 말아야 하며, 일시에 광범위한 지역에 살포하지 마십시오.",2019.03.27,"20,000원/500g",*주성분의 종류 및 함량: Bacillus thuringiensis *책임보험정보: 삼성화재해상보험㈜_82510245150000,Bacillus thuringiensis,없음,043-237-0278,미표시,없음,,충청북도 청주시 흥덕구 오송읍 오송생명6로 10
